"類型
Type","觀光遊憩區
Scenic Spots","縣市
City/Country","113年
1月","113年
2月","113年
3月","113年
4月","113年
5月","113年
6月","113年
7月","113年
8月","113年
9月","113年
10月","113年
11月","113年
12月","113年
1月-12月",資料來源
"其他
Others","臺中都會公園
Taichung Metropolitan Park","臺中市
Taichung City","28,588 ","33,513 ","35,839 ","33,159 ","33,398 ","26,343 ","23,907 ","23,323 ","23,331 ","39,562 ","37,984 ","40,042 ","378,989 ",臺中市政府
"其他
Others","草悟道
Calligraphy Greenway","臺中市
Taichung City","536,466 ","567,998 ","554,301 ","527,703 ","545,711 ","509,545 ","514,306 ","595,400 ","509,189 ","661,240 ","599,449 ","776,075 ","6,897,383 ",臺中市政府
"其他
Others","東豐自行車綠廊及后豐鐵馬道(含后里馬場)
Dongfong Green Bikeway and Houfeng Bikeway","臺中市
Taichung City","527,560 ","593,374 ","514,510 ","497,848 ","500,689 ","509,548 ","520,820 ","539,477 ","507,526 ","515,224 ","586,859 ","557,555 ","6,370,990 ",臺中市政府
"其他
Others","武陵農場(含雪霸武陵遊客中心)
Wuling Farm","臺中市
Taichung City","20,737 ","108,171 ","26,139 ","5,393 ","4,453 ","9,573 ","12,036 ","11,379 ","10,329 ","13,913 ","29,249 ","29,650 ","281,022 ",國軍退除役官兵輔導委員會
"其他
Others","臺中公園
Taichung Park","臺中市
Taichung City","204,051 ","239,862 ","241,287 ","238,865 ","238,150 ","216,400 ","222,122 ","239,642 ","218,412 ","218,932 ","221,403 ","226,943 ","2,726,069 ",臺中市政府
"其他
Others","高美濕地
Gaomei Wetland","臺中市
Taichung City","47,194 ","63,529 ","59,332 ","69,460 ","69,248 ","67,527 ","62,578 ","59,766 ","52,789 ","61,659 ","55,038 ","46,035 ","714,155 ",臺中市政府
"其他
Others","霧峰林家園區
Wufeng Lin Family Garden","臺中市
Taichung City","9,223 ","11,521 ","10,631 ","13,665 ","8,716 ","8,813 ","8,036 ","7,342 ","8,633 ","8,898 ","10,496 ","9,940 ","115,914 ",臺中市政府
"其他
Others","臺中國家歌劇院
National Taichung Theater","臺中市
Taichung City","68,675 ","78,822 ","85,465 ","107,277 ","89,265 ","107,416 ","79,297 ","87,682 ","60,369 ","66,999 ","77,931 ","99,937 ","1,009,135 ",臺中市政府
"其他
Others","一中商圈
Yizhong Shopping District","臺中市
Taichung City","763,075 ","928,634 ","821,293 ","749,590 ","748,918 ","718,763 ","684,961 ","734,162 ","766,391 ","722,486 ","733,443 ","798,480 ","9,170,196 ",臺中市政府
"其他
Others","逢甲夜市
Feng Chia Night Market","臺中市
Taichung City","509,412 ","622,627 ","600,008 ","502,188 ","496,188 ","432,336 ","431,641 ","498,139 ","556,930 ","491,863 ","480,208 ","492,382 ","6,113,922 ",臺中市政府
"其他
Others","潭雅神綠園道
TanYashen Green Bikeway","臺中市
Taichung City","275,695 ","260,952 ","291,173 ","267,964 ","275,012 ","268,660 ","276,056 ","270,603 ","258,617 ","272,666 ","277,317 ","262,857 ","3,257,572 ",臺中市政府
"其他
Others","綠川水岸廊道(含宮原眼科)
Green Waterway","臺中市
Taichung City","127,183 ","145,550 ","78,787 ","131,419 ","126,108 ","135,120 ","128,136 ","149,327 ","126,266 ","135,552 ","135,328 ","159,410 ","1,578,186 ",臺中市政府
"其他
Others","臺中驛鐵道文化園區及綠空廊道
Taichung Station Cultural Parkand Taichung Overpass","臺中市
Taichung City","450,717 ","465,903 ","442,140 ","431,937 ","414,441 ","403,367 ","417,453 ","469,666 ","426,684 ","419,367 ","441,989 ","520,086 ","5,303,750 ",臺中市政府
"其他
Others","帝國糖廠及LaLaport觀光廊帶
Empire Sugar Factory Taichung Office AND Mitsui Shopping Park LaLaport","臺中市
Taichung City","382,025 ","448,485 ","347,804 ","370,575 ","374,344 ","390,604 ","389,044 ","417,564 ","370,976 ","341,257 ","344,623 ","388,887 ","4,566,188 ",臺中市政府
"其他
Others","彰化孔子廟
Confucius Temple, Chunghua","彰化縣
Changhua County","2,409 ","2,416 ","2,513 ","2,815 ","3,601 ","2,793 ","2,834 ","2,981 ","3,990 ","4,640 ","4,786 ","3,393 ","39,171 ",彰化縣政府
"其他
Others","田尾公路花園
Tienwei Highway Garden","彰化縣
Changhua County","765,015 ","872,955 ","765,691 ","752,330 ","748,545 ","716,386 ","754,147 ","741,930 ","705,047 ","793,387 ","811,565 ","838,125 ","9,265,123 ",彰化縣政府
"其他
Others","溪州公園
Sijhou Park","彰化縣
Changhua County","12,954 ","1,020,189 ","22,691 ","20,942 ","14,685 ","14,680 ","4,510 ","12,106 ","12,015 ","19,479 ","14,421 ","9,921 ","1,178,593 ",彰化縣政府
"其他
Others","臺灣玻璃館
TAIWAN GLASS GALLERY","彰化縣
Changhua County","21,523 ","44,102 ","29,283 ","35,373 ","34,812 ","36,047 ","31,399 ","29,593 ","27,168 ","29,652 ","39,594 ","26,633 ","385,179 ",彰化縣政府
"其他
Others","扇形車庫及周邊地區
Rail roundhouse and surrounding areas","彰化縣
Changhua County","82,496 ","88,907 ","90,901 ","86,409 ","78,167 ","76,821 ","80,102 ","76,891 ","66,616 ","77,903 ","84,552 ","88,510 ","978,275 ",彰化縣政府
"其他
Others","鹿港老街及周邊地區
Lukang Old Street and surrounding areas","彰化縣
Changhua County","1,537,766 ","2,133,281 ","1,590,560 ","1,340,437 ","1,423,072 ","1,598,290 ","1,369,876 ","1,373,918 ","1,183,740 ","1,373,934 ","829,558 ","1,546,947 ","17,301,379 ",彰化縣政府
"其他
Others","王功漁港(含海空步道)
Wangling Fishing Harbor and The Seashore Trail of Fangyuan Wetland Mangrove","彰化縣
Changhua County","487,891 ","578,923 ","626,473 ","552,591 ","561,018 ","603,312 ","661,402 ","616,139 ","592,962 ","576,148 ","536,087 ","542,537 ","6,935,483 ",彰化縣政府
"其他
Others","九族文化村
Formosan Aboriginal Culture Village","南投縣
Nantou County","38,228 ","142,798 ","77,371 ","52,349 ","42,627 ","35,254 ","46,040 ","56,926 ","32,811 ","50,523 ","64,329 ","51,772 ","691,028 ",日月潭國家風景區管理處
"其他
Others","國立自然科學博物館鳳凰谷鳥園生態園區
National Museum Natural Science Fonghuanggu Bird and Ecology Park","南投縣
Nantou County","9,270 ","15,125 ","11,936 ","13,601 ","11,804 ","12,159 ","11,366 ","13,830 ","11,613 ","12,939 ","13,018 ","11,477 ","148,138 ",南投縣政府
"其他
Others","清境農場
Qingjing Farm","南投縣
Nantou County","53,556 ","99,446 ","73,896 ","44,737 ","38,478 ","47,530 ","58,795 ","98,873 ","48,326 ","55,392 ","63,580 ","80,789 ","763,398 ",國軍退除役官兵輔導委員會
"其他
Others","行政院農業委員會特有生物研究保育中心
Taiwan Endemic Species Research Institute","南投縣
Nantou County","3,557 ","3,077 ","4,150 ","4,983 ","5,024 ","3,670 ","5,905 ","6,170 ","4,008 ","5,121 ","5,075 ","2,440 ","53,180 ",南投縣政府
"其他
Others","竹山天梯風景區
Jhushan Sky ladder Scenic Area","南投縣
Nantou County",826 ,"1,340 ",728 ,755 ,517 ,773 ,582 ,455 ,520 ,605 ,580 ,702 ,"8,383 ",南投縣政府
"其他
Others","天空之橋
The Nantou Panoramic Skywalk","南投縣
Nantou County","7,391 ","12,449 ","7,538 ","6,872 ","7,321 ","5,620 ","4,389 ","4,775 ","4,709 ","6,896 ","7,361 ","6,188 ","81,509 ",南投縣政府
"其他
Others","杉林溪森林生態渡假園區
Sun-Link-Sea Forest and Nature Resort","南投縣
Nantou County","27,246 ","64,878 ","77,420 ","52,325 ","47,771 ","77,978 ","69,342 ",0 ,0 ,"45,677 ","91,397 ","70,226 ","624,260 ",南投縣政府
"其他
Others","泰雅渡假村
Atayal Village","南投縣
Nantou County","1,149 ","2,094 ","2,640 ","3,273 ","2,002 ","2,154 ",799 ,867 ,"1,406 ","2,201 ","6,057 ","5,802 ","30,444 ",南投縣政府
"其他
Others","桃米紙教堂
Taomi Paper Dome","南投縣
Nantou County","3,875 ","5,744 ","4,689 ","4,566 ","3,709 ","4,229 ","4,581 ","4,326 ","3,142 ","3,379 ","3,638 ","3,569 ","49,447 ",日月潭國家風景區管理處
"其他
Others","清境高空觀景步道
Qingjing Sky Walk","南投縣
Nantou County","14,525 ","22,280 ","21,256 ","14,540 ","14,686 ","15,034 ","16,441 ","19,223 ","17,507 ","17,437 ","17,351 ","21,033 ","211,313 ",南投縣政府
"其他
Others","草嶺
TsaoLing","雲林縣
Yunlin County","65,000 ","87,000 ","60,000 ","45,000 ","6,000 ","40,000 ","7,100 ","38,000 ","21,000 ","18,000 ","16,000 ","16,500 ","419,600 ",雲林縣政府
"其他
Others","劍湖山世界
JanFuSun Fancyworld","雲林縣
Yunlin County","53,565 ","62,847 ","71,322 ","85,577 ","39,178 ","51,993 ","85,788 ","101,108 ","46,052 ","55,398 ","78,781 ","115,436 ","847,045 ",雲林縣政府
"其他
Others","古坑綠色隧道
Green Tunnel","雲林縣
Yunlin County","162,030 ","203,450 ","152,000 ","155,000 ","156,000 ","122,000 ","112,000 ","121,000 ","123,000 ","183,000 ","220,000 ","255,000 ","1,964,480 ",雲林縣政府
"其他
Others","文化路夜市
Wenhua Road Night Market","嘉義市
Chiayi City","1,613,251 ","1,544,584 ","1,408,727 ","1,225,887 ","1,250,359 ","1,209,714 ","1,129,369 ","1,355,567 ","1,252,009 ","1,315,069 ","1,330,513 ","1,347,989 ","15,983,038 ",嘉義市政府
"其他
Others","檜意森活村
Hinoki Village","嘉義市
Chiayi City","754,319 ","760,182 ","644,111 ","551,159 ","587,567 ","555,800 ","527,085 ","598,849 ","503,671 ","559,379 ","600,532 ","625,326 ","7,267,980 ",嘉義市政府
"其他
Others","烏樹林休閒園區
Wu Shu Lin Recreational Park","臺南市
Tainan City","3,230 ","6,621 ","7,156 ","8,542 ","6,607 ","6,286 ","4,454 ","3,228 ","8,226 ","10,590 ","11,795 ","8,990 ","85,725 ",臺南市政府
"其他
Others","頑皮世界
Leopard King Safari Zoo","臺南市
Tainan City","27,679 ","51,292 ","29,765 ","32,427 ","20,832 ","22,233 ","23,399 ","32,486 ","16,605 ","24,249 ","35,022 ","29,195 ","345,184 ",臺南市政府
"其他
Others","南紡購物中心
T.S. Mall","臺南市
Tainan City","505,325 ","547,675 ","522,436 ","512,109 ","501,643 ","499,561 ","533,101 ","541,449 ","490,944 ","528,390 ","513,826 ","551,451 ","6,247,910 ",臺南市政府
"其他
Others","新化老街
Xinhua Old Street","臺南市
Tainan City","136,067 ","184,783 ","138,563 ","156,669 ","149,739 ","145,851 ","140,293 ","138,538 ","145,756 ","142,222 ","149,745 ","152,333 ","1,780,559 ",臺南市政府
"其他
Others","鹽水老街
Yanshui Old Street","臺南市
Tainan City","84,942 ","248,230 ","77,394 ","78,336 ","70,299 ","70,095 ","69,002 ","67,439 ","70,144 ","70,829 ","70,846 ","72,747 ","1,050,303 ",臺南市政府
"其他
Others","黃金海岸
Golden Coast","臺南市
Tainan City","14,283 ","13,140 ","11,450 ","16,868 ","16,730 ","15,318 ","15,651 ","17,686 ","16,267 ","16,681 ","16,298 ","14,104 ","184,476 ",臺南市政府
"其他
Others","藍晒圖文創圈區
Blueprint Cultural & Creative Park","臺南市
Tainan City","351,928 ","395,845 ","330,801 ","348,165 ","341,327 ","337,135 ","349,599 ","373,439 ","332,876 ","314,094 ","464,874 ","379,286 ","4,319,369 ",臺南市政府
"其他
Others","壽山動物園
Shoushan Zoo","高雄市
Kaohsiung City","102,350 ","151,808 ","80,560 ","79,812 ","63,984 ","60,190 ","47,068 ","57,385 ","40,870 ","44,715 ","59,989 ","71,295 ","860,026 ",高雄市政府
"其他
Others","蓮池潭
Lotus Pond","高雄市
Kaohsiung City","393,938 ","469,006 ","398,418 ","394,404 ","407,824 ","378,003 ","394,397 ","400,926 ","389,521 ","537,328 ","470,607 ","513,876 ","5,148,248 ",高雄市政府
"其他
Others","高雄市文化中心
Kaohsiung  Cultural Center","高雄市
Kaohsiung City","153,049 ","149,847 ","158,139 ","140,425 ","163,678 ","146,235 ","142,869 ","129,578 ","146,517 ","136,263 ","166,946 ","174,990 ","1,808,536 ",高雄市政府
"其他
Others","旗津風景區
Cijin Seaside","高雄市
Kaohsiung City","409,696 ","735,622 ","412,435 ","391,532 ","375,432 ","359,978 ","351,888 ","332,282 ","333,936 ","366,575 ","384,417 ","398,634 ","4,852,427 ",高雄市政府
"其他
Others","澄清湖
Chengching Lake","高雄市
Kaohsiung City","127,872 ","140,705 ","156,583 ","120,187 ","114,417 ","115,971 ","81,961 ","104,173 ","111,579 ","51,511 ","70,169 ","89,285 ","1,284,413 ",高雄市政府
"其他
Others","駁二藝術特區
The Pier-2 Art Center","高雄市
Kaohsiung City","880,693 ","2,854,632 ","526,666 ","446,104 ","493,301 ","473,884 ","460,927 ","513,633 ","455,281 ","500,663 ","558,706 ","729,569 ","8,894,059 ",高雄市政府
"其他
Others","愛河(五福四路至博愛一路)
Love River(Wufu 4th  Rd.to Bo-ai 1st Rd.)","高雄市
Kaohsiung City","760,643 ","2,487,033 ","457,660 ","386,021 ","413,444 ","413,912 ","416,838 ","433,121 ","393,158 ","426,743 ","464,385 ","509,160 ","7,562,118 ",高雄市政府
"其他
Others","金獅湖風景區
Jinshin lake scenic area ","高雄市
Kaohsiung City","177,948 ","181,133 ","200,343 ","187,537 ","180,115 ","170,059 ","165,402 ","167,572 ","157,472 ","175,294 ","204,057 ","224,460 ","2,191,392 ",高雄市政府
"其他
Others","義大世界
E-DA World","高雄市
Kaohsiung City","330,752 ","689,284 ","361,073 ","367,361 ","322,979 ","365,285 ","366,681 ","383,823 ","414,356 ","359,574 ","373,716 ","451,167 ","4,786,051 ",高雄市政府
"其他
Others","衛武營國家藝術文化中心
National Kaohsiung Center for the Arts","高雄市
Kaohsiung City","249,033 ","261,416 ","269,035 ","246,364 ","239,949 ","252,214 ","256,843 ","234,625 ","229,304 ","247,784 ","275,488 ","298,581 ","3,060,636 ",高雄市政府
"其他
Others","旗山老街
Qishan Old Street","高雄市
Kaohsiung City","613,849 ","1,028,841 ","626,730 ","699,391 ","569,869 ","548,916 ","505,731 ","486,380 ","432,040 ","447,436 ","506,728 ","594,082 ","7,059,993 ",高雄市政府
"其他
Others","瑞豐商圈
Ruifeng Night Market","高雄市
Kaohsiung City","477,252 ","501,306 ","487,931 ","436,473 ","412,187 ","388,884 ","355,228 ","364,629 ","332,927 ","340,514 ","400,474 ","500,267 ","4,998,072 ",高雄市政府
"其他
Others","蚵仔寮漁港
Keziliao Fish Market","高雄市
Kaohsiung City","475,878 ","520,047 ","466,263 ","464,049 ","480,303 ","437,006 ","430,294 ","440,777 ","439,499 ","495,928 ","514,320 ","554,868 ","5,719,232 ",高雄市政府
"其他
Others","墾丁海水浴場
Kenting Beach","屏東縣
Pingtung County","8,959 ","13,166 ","16,539 ","13,364 ","12,457 ","16,390 ","13,040 ","13,438 ","12,671 ","11,238 ","12,466 ","10,920 ","154,648 ",屏東縣政府
"其他
Others","8大森林樂園
Bada Forest Park","屏東縣
Pingtung County",708 ,668 ,632 ,788 ,484 ,289 ,288 ,119 ,542 ,"2,034 ",753 ,688 ,"7,993 ",屏東縣政府
"其他
Others","大路觀主題樂園
Dalukuanlamd","屏東縣
Pingtung County",646 ,300 ,350 ,499 ,397 ,344 ,533 ,203 ,31 ,184 ,213 ,110 ,"3,810 ",屏東縣政府
"其他
Others","小墾丁渡假村
Kentington Resort","屏東縣
Pingtung County","3,794 ","4,990 ","4,970 ","6,426 ","4,796 ","4,690 ","6,710 ","5,788 ","3,247 ","3,893 ","4,761 ","5,024 ","59,089 ",屏東縣政府
"其他
Others","勝利星村創意生活園區
V.I.P ZONE Shengli Star Village V.I.P ZONE","屏東縣
Pingtung County","173,215 ","270,560 ","174,425 ","168,000 ","144,100 ","126,855 ","109,485 ","106,165 ","100,795 ","84,810 ","124,570 ","166,200 ","1,749,180 ",屏東縣政府
"其他
Others","台電南部展示館
Taipower Exhibit Center in Southern Taiwan","屏東縣
Pingtung County","11,754 ","13,269 ","15,938 ","23,994 ","23,950 ","34,739 ","37,949 ","32,198 ","24,098 ","19,031 ","14,052 ","13,762 ","264,734 ",屏東縣政府
"其他
Others","林後四林平地森林園區
Linhousilin Forest Park","屏東縣
Pingtung County","21,340 ","49,750 ","20,550 ","29,820 ","16,600 ","36,000 ","24,650 ","24,542 ","25,495 ","17,182 ","60,226 ","59,425 ","385,580 ",屏東縣政府
"其他
Others","屏東酒廠(內埔)
Pingtung Distillery ","屏東縣
Pingtung County","6,680 ","5,641 ","4,614 ","4,922 ","5,281 ","3,989 ","3,470 ","4,852 ","4,448 ","3,274 ","6,591 ","4,522 ","58,284 ",屏東縣政府
"其他
Others","山川琉璃吊橋
LiouLi Bridge","屏東縣
Pingtung County","8,641 ","12,512 ","9,376 ","8,347 ","7,318 ","5,893 ","4,313 ","3,905 ","5,158 ","5,841 ","7,153 ","8,879 ","87,336 ",屏東縣政府
"其他
Others","潮好玩幸福村
Chaozhou Happiness Village","屏東縣
Pingtung County","38,333 ","47,477 ","43,886 ","40,114 ","39,415 ","35,280 ","26,603 ","29,328 ","33,932 ","30,251 ","35,762 ","41,664 ","442,045 ",屏東縣政府
"其他
Others","看海美術館旅服中心
Seaside Gallery Information Center","屏東縣
Pingtung County","34,962 ","31,783 ","14,474 ","28,570 ","47,855 ","48,940 ","22,336 ","24,650 ","46,679 ","42,748 ","45,681 ","35,672 ","424,350 ",屏東縣政府
"其他
Others","遠雄海洋公園
Farglory Ocean Park","花蓮縣
Hualien County","37,260 ","67,775 ","38,860 ","1,659 ",0 ,"25,536 ","24,037 ","40,572 ","23,270 ","51,504 ","87,348 ","34,190 ","432,011 ",東部海岸國家風景區管理處
"其他
Others","慶修院
Chinxiu Temple","花蓮縣
Hualien County","15,309 ","15,309 ","15,419 ","2,714 ","2,810 ","6,019 ","8,004 ","9,920 ","2,688 ","9,740 ","15,053 ","15,045 ","118,030 ",花蓮縣政府
"其他
Others","花蓮縣石雕博物館
Hualien Stone Sculpture Museum","花蓮縣
Hualien County","1,519 ","2,461 ","2,544 ",611 ,"1,246 ","1,353 ",954 ,"1,236 ","1,151 ",0 ,938 ,"3,291 ","17,304 ",花蓮縣政府
"其他
Others","東大門國際觀光夜市
Dongdamen International Tourist Night Market","花蓮縣
Hualien County","104,416 ","256,708 ","193,009 ","55,915 ","40,599 ","96,183 ","96,438 ","84,989 ","56,898 ","39,989 ","70,336 ","182,821 ","1,278,301 ",花蓮縣政府
"其他
Others","池上大坡池及周邊地區
Chishang Dapochi and surrounding areas","臺東縣
Taitung County","145,899 ","161,477 ","134,822 ","105,307 ","95,820 ","112,923 ","130,094 ","137,939 ","112,138 ","117,857 ","105,908 ","130,447 ","1,490,631 ",花東縱谷國家風景區管理處
"其他
Others","水產試驗所東部海洋生物研究中心（水族生態研究館）
Eastern Marine Biology Research Center of Fisheries Research Institute, COA (Aquatic Ecosystem Research Center)","臺東縣
Taitung County",61 ,78 ,130 ,135 ,188 ,120 ,205 ,101 ,118 ,87 ,82 ,114 ,"1,419 ",臺東縣政府
"其他
Others","蘭嶼
Lanyu（Orchid Island）","臺東縣
Taitung County","2,392 ","3,608 ","4,909 ","17,819 ","20,785 ","9,394 ","21,131 ","15,963 ","14,202 ","4,934 ",990 ,"1,663 ","117,790 ",臺東縣政府
"其他
Others","金針山休閒農業區
Mt. Jinjhen Recreation Farming Area","臺東縣
Taitung County","3,500 ","22,500 ","9,300 ","9,200 ","3,400 ","10,500 ","8,000 ","8,919 ","15,600 ",320 ,750 ,950 ,"92,939 ",臺東縣政府
"其他
Others","澎湖生活博物館
Penghu Living Museum","澎湖縣
Penghu County","1,863 ","3,105 ","3,884 ","5,158 ","7,138 ","8,634 ","11,699 ","7,569 ","5,986 ","3,395 ","2,329 ","1,790 ","62,550 ",澎湖縣政府
"其他
Others","獅山砲陣地
Shishan (Mt. Lion) Howitzer Front","金門縣
Kinmen County","7,505 ","6,240 ","9,101 ","11,145 ","14,694 ","14,432 ","16,270 ","13,000 ","14,102 ","17,867 ","18,009 ","13,337 ","155,702 ",金門縣政府
"其他
Others","總兵署
Military Headquarters of Qing Dynasty","金門縣
Kinmen County","13,172 ","16,534 ","15,121 ","64,399 ","19,408 ","18,393 ","20,616 ","16,441 ","16,613 ","14,678 ","14,401 ","13,590 ","243,366 ",金門縣政府
"其他
Others","建功嶼
Jiangong Islet","金門縣
Kinmen County","9,568 ","3,725 ","3,895 ","4,660 ","7,140 ","8,080 ","6,830 ","8,300 ","8,950 ","12,250 ","13,205 ","7,170 ","93,773 ",金門縣政府
,,,,,,,,,,,,,,,,
"資料來源：國軍退除役官兵輔導委員會、內政部國家公園署暨所屬各國家公園管理處、客家委員會、農業部林業及自然保育署、交通部觀光署所屬國家風景區管理處、各直轄市及縣市政府等。 

資料使用說明︰
1.本資料係各別觀光遊憩據點之遊客人數，其總和非國內國民旅遊之總人次，113年據點共367處。
2.遊憩區分類係區分為國家公園、國家級風景特定區 、直轄市級及縣(市)級風景特定區、森林遊樂區、休閒農業區及休閒農場、觀光地區、博物館、宗教場所及其他。 
註1：113年刪除據點立川漁場(Li Chuan Aquafarm)、新光兆豐休閒農(Jhaofong Leisure Farm)、關山親水公園(Guanshan Water Park)、布農部落(Bunun Leisure Farming)、初鹿牧場(Chulu Pasurage)、原生應用植物園(Yuan Sen Applied Botanical Garden)、井仔腳瓦盤鹽田(Jingzaijiao Tile-paved)、武陵遊客中心(Wuling Visitor Center)、后里馬場(Houli Race Course)9處。
註2：113年新增據點壽山園區(Shoushan Recreation Area)、半屏山園區(Banpingshan Recreation Area)、龜山園區(Guishan Recreation Area)、旗後山園區(Qihoushan Recreation Area)、宏匯廣場(Honhui Plaza)、老街溪沿岸步道(Zhongli Laojie Creek Trail)、八德埤塘自然生態公園(Bade Pond Ecology Park)、1895乙未保台紀念公園(1895 War Memorial Park)、鹿港老街及周邊地區(Lukang Old Street and surrounding areas)、王功漁港（含海空步道）(Wangling Fishing Harbor and The Seashore Trail of Fangyuan Wetland Mangrove)、鹿港天后宮(Lukang Tian Hou Temple)、文化路夜市(Wenhua Road Night Market)、檜意森活村(Hinoki Village)、嘉義城隍廟(CHIAYI CITY GOD TEMPLE)、屏菸1936文化基地(PINGTUNG 1936 TOBACCO CULTURE BASE)、東大門國際觀光夜市(Dongdamen International Tourist Night Market)、獅山砲陣地(Shishan (Mt. Lion) Howitzer Front)、總兵署(Military Headquarters of Qing Dynasty)、建功嶼(Jiangong Islet)、大農大富平地森林園區(Da Nong Da Fu Forest Park)、卑南初鹿地區(Beinan Chulu Area)、武陵農場(含雪霸武陵遊客中心)(Wuling Farm)、東豐自行車綠廊及后豐鐵馬道(含后里馬場)(Dongfong Green Bikeway and Houfeng Bikeway)、臺中驛鐵道文化園區及綠空廊道(Taichung Station Cultural Parkand Taichung Overpass)、帝國糖廠及LaLaport觀光廊帶(Empire Sugar Factory Taichung Office AND Mitsui Shopping Park LaLaport)25處。
註3：113年調整0處據點分類、37處統計方法及21處據點名稱。 
註4:原獅頭山風景區因橫跨新竹縣與苗栗縣，八卦山風景區因橫跨彰化縣與南投縣。自111年起，獅頭山風景區分為獅頭山風景區（新竹地區）、獅頭山風景區（苗栗地區），八卦山風景區分為八卦山風景區（南投地區）、八卦山風景區（彰化地區）。
註5:各機關及縣市政府所提報據點數不同，統計方式及範圍大小不一，且各類型據點環境及資源之限制，以及旅客行為、季節性等因素影響，故數據僅為各據點之遊客到訪趨勢，不宜逕為類型比較或縣市加總比較。

Source: Veterans Affairs Council, National Park Management Offices of the Ministry of the Interior’s National Parks Agency, Hakka Affairs Council, Forestry and Nature Conservation Agency, MOA, National Scenic Area Management Offices of the Tourism Administration of the Ministry of Transportation and Communications, and various municipality, city and county governments.

Data usage guidelines:
1.This information refers to the number of tourists at various tourism sightseeing and recreational areas, and the total is not the total number of domestic national tourists. 
2. The classification of recreational areas is divided into: national parks, national-level designated scenic areas, municipal and county (city)-level designated scenic areas, forest recreation areas, recreational agricultural areas and recreational farms, tourism areas, museums, religious places and others. ",,,,,,,,,,,,,,,,
